"screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type","trend"
"grace55__","4163259372","2017-05-27 15:24:44","868488145175691264","RT @overxingxing: จะร้องงงงอี้ชิงมาไลก์รูปชานแบคฮุนอะ นี่เชื่อว่าอี้ชิงก็อยากไปคอนอะ #EXOrDIUMdotinSeoul https://t.co/d18iXz2zSm",3878,0,FALSE,NA,TRUE,"868446317701459840",NA,NA,NA,"th","Twitter for Android","868446309295857664","http://pbs.twimg.com/media/DA1XUSwUIAEqXTy.jpg","https://twitter.com/overxingxing/status/868446317701459968/photo/1",NA,NA,NA,"overxingxing","3320779442",NA,"EXOrDIUMdotinSeoul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#EXOrDIUMdotinSeoul"
"kyunggoyang","2208118890","2017-05-27 15:24:44","868488145053995008","RT @dailyexhoe: An award for EXO-Ls for having the ""BEST FANPROJECT"" please!!!

""NO EXO NO LIFE""

pcr. EXOGlobal
#EXOrDIUMdotinSeoul https:…",274,0,FALSE,NA,TRUE,"868477314513870720",NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,NA,NA,"dailyexhoe","2498685337",NA,"EXOrDIUMdotinSeoul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#EXOrDIUMdotinSeoul"
"pim_wanrada","953466997","2017-05-27 15:24:44","868488144978456448","RT @EXOBEAKHYUN_TB: Lotto ครั้งแรกในคอนToT ชุดขาวงานดี~~~~~ #EXOrDIUMdotinSeoul  cr.04088040
 https://t.co/U1uiHGvq1x",4010,0,FALSE,NA,TRUE,"868447386581860352",NA,NA,NA,"th","Twitter for iPhone","868446861832593408","http://pbs.twimg.com/ext_tw_video_thumb/868446861832593408/pu/img/5UXIYx01oxp_lDsK.jpg","https://twitter.com/04088040/status/868447007844704257/video/1",NA,NA,NA,"EXOBEAKHYUN_TB","622656607",NA,"EXOrDIUMdotinSeoul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#EXOrDIUMdotinSeoul"
"f6sgSMcIVlUHpSK","861925358991360000","2017-05-27 15:24:44","868488144915546112","RT @kai_sh94: 170527 #EXOrDIUMdotinSeoul #세훈 #sehun
애긔 애긔 해 👶🏻❣️❣️❣️ https://t.co/0US2HRa8gJ",455,0,FALSE,NA,TRUE,"868475238807355520",NA,NA,NA,"ko","Twitter for Android","868475225289089024","http://pbs.twimg.com/media/DA1xnbOVYAA4vaQ.jpg","https://twitter.com/kai_sh94/status/868475238807355393/photo/1",NA,NA,NA,"kai_sh94","3103032654",NA,"EXOrDIUMdotinSeoul 세훈 sehun",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#EXOrDIUMdotinSeoul"
"JanjhiraP","2575138129","2017-05-27 15:24:44","868488144831692800","RT @PCYHomeThaiLand: 170527 chrislee733 อัพเดท ชานยอล จุนมยอน ที่งาน #EXOrDIUMdotinSeoul https://t.co/HD6CBDGs4F
https://t.co/1adPDFjVdt
ht…",819,0,FALSE,NA,TRUE,"868475351311110144",NA,NA,NA,"th","Twitter for Android",NA,NA,NA,NA,"instagram.fbkk5-2.fna.fbcdn.net/t51.2885-15/e3… instagram.fbkk5-2.fna.fbcdn.net/t51.2885-15/e3…","https://instagram.fbkk5-2.fna.fbcdn.net/t51.2885-15/e35/18721927_1810804099235754_4879923605284061184_n.jpg https://instagram.fbkk5-2.fna.fbcdn.net/t51.2885-15/e35/18808968_297330450691760_3446850738397904896_n.jpg","PCYHomeThaiLand","2277244776",NA,"EXOrDIUMdotinSeoul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#EXOrDIUMdotinSeoul"
"pamela_c88","1251715621","2017-05-27 15:24:44","868488144580104320","RT @afireselu: Another proof that EXOrDIUM lifted up the reputation of KPOP. #EXOrDIUMdotinSeoul https://t.co/jYpAg0TCeq",280,0,FALSE,NA,TRUE,"868474742293929984",NA,NA,NA,"en","Twitter for Android","868472509305245696","http://pbs.twimg.com/ext_tw_video_thumb/868472509305245696/pu/img/d8VE1pvAfTM-mjRL.jpg","https://twitter.com/innocentaeri/status/868473607743090689/video/1",NA,NA,NA,"afireselu","775698667",NA,"EXOrDIUMdotinSeoul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#EXOrDIUMdotinSeoul"
"datxiuminlly","796352462470938624","2017-05-27 15:24:43","868488144332763008","RT @daewonpil: o Xiumin tendo que segurar duas plaquinhas pq o Lay não tava lá #EXOrDIUMdotinSeoul https://t.co/hHDO9O3plh",251,0,FALSE,NA,TRUE,"868455877136846720",NA,NA,NA,"pt","Twitter Web Client","868455852382052352","http://pbs.twimg.com/tweet_video_thumb/DA1f_xhXYAExnpN.jpg","https://twitter.com/daewonpil/status/868455877136846848/photo/1",NA,NA,NA,"daewonpil","737774847498031104",NA,"EXOrDIUMdotinSeoul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#EXOrDIUMdotinSeoul"
"nabillanrwhyni_","307785312","2017-05-27 15:24:43","868488144286392320","RT @SehunFangirls: rainbow ocean 😭👌🏻💗💜💙💚💛❤️ #EXOrDIUMdotinSeoul https://t.co/sFK7kgxAbX",284,0,FALSE,NA,TRUE,"868471576718565248",NA,NA,NA,"en","Twitter for Android","868471068066930560","http://pbs.twimg.com/ext_tw_video_thumb/868471068066930688/pu/img/GuZ3l5i0Ge0Rh6KN.jpg","https://twitter.com/SehunFangirls/status/868471576718565376/video/1",NA,NA,NA,"SehunFangirls","1670634584",NA,"EXOrDIUMdotinSeoul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#EXOrDIUMdotinSeoul"
"JeWelShineShine","1335848256","2017-05-27 15:24:43","868488144038928384","RT @EXOBEAKHYUN_TB: มันไม่พอ ทะเลไฟอซมสวยอีกค่ะ มันส์ไปสิ ToT #EXOrDIUMdotinSeoul  cr.K_jd921
 https://t.co/tOWh14d3JW",3816,0,FALSE,NA,TRUE,"868444475005083520",NA,NA,NA,"th","Twitter for iPhone","868443726049234944","http://pbs.twimg.com/ext_tw_video_thumb/868443726049234944/pu/img/H4XpsjgdvxqfGMPN.jpg","https://twitter.com/K_jd921/status/868443839362506752/video/1",NA,NA,NA,"EXOBEAKHYUN_TB","622656607",NA,"EXOrDIUMdotinSeoul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#EXOrDIUMdotinSeoul"
"baekguard","1259760253","2017-05-27 15:24:43","868488143963430912","RT @aaasta: ❣️😬✨
#BAEKHYUN
#EXOrDIUMdotinSeoul https://t.co/3q0JYpMbZy",165,0,FALSE,NA,TRUE,"868485710877032320",NA,NA,NA,"und","Twitter for iPhone","868485698247991296","http://pbs.twimg.com/media/DA17JCCUIAASEPQ.jpg","https://twitter.com/aaasta/status/868485710877032449/photo/1",NA,NA,NA,"aaasta","2952578965",NA,"BAEKHYUN EXOrDIUMdotinSeoul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"#EXOrDIUMdotinSeoul"
